GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
myproject,com.example,App,12,28,0,4,4,11,2,4,2,2
myproject,com.example,AppDependency,5,0,0,0,2,0,2,0,2,0
